Rank,Company,RevenueMil,RevenuePerCng,ProfitsMil,ProfitsPerCng,AssetsMil,EmployeeCount,RankCng,YearsOnList,Hqcity,HqCountry,IndustrySector
1,Walmart,648125,0.06,15511,0.33,252399,2100000,,30,Bentonville,United States,Retail
2,Amazon,574785,0.12,30425,,527854,1525000,2,16,Seattle,United States,Internet Services and Retailing
3,State Grid,545948,0.03,9204,0.12,781126,1361423,,24,Beijing,China,Energy
4,Saudi Aramco,494890,-0.18,120699,-0.24,660819,73311,-2,6,Dhahran,Saudi Arabia,"Mining, Crude-Oil Production"
5,Sinopec Group,429700,-0.09,9393,-0.03,382688,513434,1,26,Beijing,China,Energy
6,China National Petroleum,421714,-0.13,21295,0.01,630562,1026301,-1,24,Beijing,China,Petroleum Refining
7,Apple,383285,-0.03,96995,-0.03,352583,161000,1,22,Cupertino,United States,Technology
8,UnitedHealth Group,371622,0.15,22381,0.11,273720,440000,2,28,Minnetonka,United States,Health Care: Insurance and Managed Care
9,Berkshire Hathaway,364482,0.21,96223,,1069978,396500,5,28,Omaha,United States,Financials
10,CVS Health,357776,0.11,8344,1.01,249728,259500,1,29,Woonsocket,United States,Health Care
11,Volkswagen,348408,0.19,17945,0.11,663064,684025,4,30,Wolfsburg,Germany,Motor Vehicles & Parts
12,Exxon Mobil,344582,-0.17,36010,-0.35,376317,61500,-5,30,Spring,United States,Petroleum Refining
13,Shell,323183,-0.16,19359,-0.54,406270,103000,-4,30,London,United Kingdom,Energy
14,China State Construction Engineering,320431,0.05,4372,0.03,410144,382894,-1,13,Beijing,China,Engineering & Construction
15,Toyota Motor,312018,0.14,34214,0.89,595915,380793,4,30,Toyota,Japan,Motor Vehicles & Parts
16,McKesson,308951,0.12,3002,-0.16,67443,48000,2,30,Irving,United States,Wholesalers: Health Care
17,Alphabet,307394,0.09,73795,0.23,402392,182502,,16,Mountain View,United States,Internet Services and Retailing
18,Cencora,262173,0.1,1745,0.03,62559,44000,6,25,Conshohocken,United States,Wholesalers: Health Care
19,Trafigura Group,244280,-0.23,7393,0.06,83383,12479,-7,10,Singapore,Singapore,Wholesalers
20,Costco Wholesale,242290,0.07,6292,0.08,68994,316000,6,30,Issaquah,United States,General Merchandisers
21,JPMorgan Chase,239425,0.55,49552,0.32,3875393,309926,32,30,New York,United States,Commercial Banks
22,Industrial & Commercial Bank of China,222484,0.04,51417,-0.04,6297315,419252,6,26,Beijing,China,Commercial Banks
23,TotalEnergies,218945,-0.17,21384,0.04,283654,102579,-3,30,Courbevoie,France,Energy
24,Glencore,217829,-0.15,4280,-0.75,123869,83426,-3,14,Baar,Switzerland,"Mining, Crude-Oil Production"
25,BP,213032,-0.14,15239,,280294,79400,-3,30,London,United Kingdom,Energy
26,Microsoft,211915,0.07,72361,-0.01,411976,221000,4,27,Redmond,United States,Computer Software
27,Cardinal Health,205012,0.13,261,,43417,47520,7,27,Dublin,United States,Wholesalers: Health Care
28,Stellantis,204908,0.09,20103,0.14,223247,258275,3,19,Amsterdam,Netherlands,Motor Vehicles & Parts
29,Chevron,200949,-0.18,21369,-0.4,261632,45600,-6,30,San Ramon,United States,Petroleum Refining
30,China Construction Bank,199826,-0.01,46990,-0.02,5399536,376871,-1,25,Beijing,China,Commercial Banks
31,Samsung Electronics,198257,-0.15,11082,-0.74,351937,267860,-6,30,Suwon,South Korea,"Electronics, Electrical Equipment"
32,Hon Hai Precision Industry,197876,-0.11,4563,-0.04,128550,621393,-5,20,New Taipei City,Taiwan,"Electronics, Electrical Equipment"
33,Cigna,195265,0.08,5164,-0.23,152761,71413,2,29,Bloomfield,United States,Health Care: Pharmacy and Other Services
34,Agricultural Bank of China,192398,0.03,38049,-0.01,5617655,451003,-2,25,Beijing,China,Commercial Banks
35,China Railway Engineering Group,178563,0.04,2153,0.06,258818,314149,4,10,Beijing,China,Engineering & Construction
36,Ford Motor,176191,0.12,4347,,273310,177000,10,30,Dearborn,United States,Motor Vehicles & Parts
37,Bank of China,172328,0.1,32758,-0.03,4569327,306931,12,30,Beijing,China,Commercial Banks
38,Bank of America,171912,0.49,26515,-0.04,3180151,212985,44,30,Charlotte,United States,Commercial Banks
39,General Motors,171842,0.1,10127,0.02,273064,163000,11,30,Detroit,United States,Motor Vehicles & Parts
40,Elevance Health,171340,0.09,5987,-0.01,108928,104900,11,23,Indianapolis,United States,Health Care: Insurance and Managed Care
41,BMW Group,168103,0.12,12205,-0.35,277104,154950,16,30,Munich,Germany,Motor Vehicles & Parts
42,Mercedes-Benz Group,165638,0.05,15417,0.01,290504,166056,5,30,Stuttgart,Germany,Motor Vehicles & Parts
43,China Railway Construction,160847,-0.01,1701,-0.06,234977,336433,,13,Beijing,China,Engineering & Construction
44,China Baowu Steel Group,157216,-0.03,2494,,191964,258697,,21,Shanghai,China,Materials
45,Citigroup,156820,0.55,9228,-0.38,2411834,237925,54,30,New York,United States,Commercial Banks
46,Centene,153999,0.07,2702,1.25,84641,67700,14,9,St. Louis,United States,Health Care: Insurance and Managed Care
47,JD.com,153217,-0.02,3414,1.21,88613,517124,5,9,Beijing,China,Internet Services and Retailing
48,Home Depot,152669,-0.03,15143,-0.12,76530,463100,,30,Atlanta,United States,Specialty Retailers: Other
49,Electricite de France,151040,0,10828,,402929,171862,6,30,Paris,France,Utilities
50,Marathon Petroleum,150307,-0.17,9681,-0.33,85987,18200,-14,13,Findlay,United States,Petroleum Refining
51,Kroger,150039,0.01,2164,-0.04,50505,414000,7,30,Cincinnati,United States,Food & Drug Stores
52,Phillips 66,149890,-0.15,7015,-0.36,75501,14000,-15,12,Houston,United States,Petroleum Refining
53,Ping An Insurance,145759,-0.2,12101,-0.03,1631973,288751,-20,15,Shenzhen,China,Life and Health Insurance
54,Sinochem Holdings,143240,-0.18,-3666,,223940,203727,-16,3,Beijing,China,Chemicals
55,China Mobile Communications,142832,0.02,15253,0.04,338347,453394,7,24,Beijing,China,Telecommunications
56,China National Offshore Oil,141732,-0.14,14559,-0.14,225842,82560,-14,18,Beijing,China,"Mining, Crude-Oil Production"
57,Honda Motor,141349,0.13,7661,0.59,196893,194993,13,30,Tokyo,Japan,Motor Vehicles & Parts
58,Fannie Mae,141240,0.16,17408,0.35,4325437,8100,17,27,Washington,United States,Diversified Financials
59,China Life Insurance,139616,-0.08,-841,-1.12,954017,176625,-5,22,Beijing,China,Life and Health Insurance
60,Walgreens Boots Alliance,139081,0.05,-3080,-1.71,96628,268500,6,30,Deerfield,United States,Food & Drug Stores
