"country_region_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"AU","2020-02-15",3.74038461538462,5.78846153846154,1.29807692307692,5.90384615384615,2.38461538461538,0.0480769230769231
"BR","2020-02-15",2.45429362880886,1.9196675900277,1.46260387811634,0.373961218836565,5.34349030470914,-0.0166204986149584
"GB","2020-02-15",-11.1297935103245,-5.49852507374631,-36.7758112094395,-11.1445427728614,-3.93510324483776,2.36578171091445
"IN","2020-02-15",2.59966216216216,2.58108108108108,4.45945945945946,5.36655405405405,5.5777027027027,-0.837837837837838
"IT","2020-02-15",2.14173228346457,-1.5511811023622,31.2204724409449,7.20472440944882,0.102362204724409,-1.03149606299213
"NG","2020-02-15",3.15384615384615,0.82051282051282,10,2.58974358974359,4.94871794871795,-0.435897435897436
"US","2020-02-15",5.02469135802469,1.67019400352734,16.4091710758377,4.71604938271605,0.447971781305115,-0.507936507936508
"ZA","2020-02-15",-0.666666666666667,-1.66666666666667,1.55555555555556,0.333333333333333,-0.333333333333333,-1.88888888888889
"AU","2020-02-16",4.04347826086957,10.1413043478261,12.8695652173913,3.97826086956522,-0.489130434782609,0.0869565217391304
"BR","2020-02-16",-1.28295819935691,1.76848874598071,-3.02572347266881,-2.03536977491961,-0.745980707395498,1.44372990353698
"GB","2020-02-16",-8.06642066420664,-6.21771217712177,-32.8191881918819,-7.56457564575646,-3.31365313653137,1.25830258302583
"IN","2020-02-16",3.34017094017094,2.95213675213675,5.0034188034188,4.63418803418803,1.08888888888889,-0.492307692307692
"IT","2020-02-16",3.30894308943089,-0.634146341463415,32.2439024390244,11.5284552845528,0.48780487804878,-1.36585365853659
"NG","2020-02-16",0.696969696969697,-1.06060606060606,7.57575757575758,0.909090909090909,3.06060606060606,0.666666666666667
"US","2020-02-16",7.64192949907236,1.49350649350649,17.9499072356215,3.17810760667904,0.291280148423006,-0.651205936920223
"ZA","2020-02-16",-4.55555555555556,-2.44444444444444,-6,-2.11111111111111,-1.33333333333333,-0.666666666666667
"AU","2020-02-17",-2.91472868217054,2.55038759689922,1.16279069767442,10.8914728682171,17.3333333333333,-1.86046511627907
"BR","2020-02-17",-6.06470588235294,-2.49117647058824,-9.42058823529412,0.470588235294118,15.4676470588235,-0.711764705882353
"GB","2020-02-17",10.7561728395062,2.33333333333333,24.2098765432099,0.290123456790123,-15.4969135802469,2.35185185185185
"IN","2020-02-17",1.79560810810811,2.22466216216216,4.33445945945946,4.09797297297297,5.36486486486486,-0.807432432432432
"IT","2020-02-17",-0.656,0.352,5.264,2.952,0.912,-0.264
"NG","2020-02-17",-0.971428571428571,-1.85714285714286,2.4,0.742857142857143,3.45714285714286,0.771428571428571
"US","2020-02-17",7.66787003610108,0.879061371841155,28.687725631769,-1.26895306859206,-22.5884476534296,4.92779783393502
"ZA","2020-02-17",-11.5,-10.2,-8.3,3.3,3.7,1
"AU","2020-02-18",-4.44776119402985,-1.25373134328358,-10.3955223880597,7.52238805970149,13.8582089552239,-1.2089552238806
"BR","2020-02-18",-6.24776119402985,-3.15522388059701,-8.72238805970149,0.134328358208955,14.1761194029851,-0.913432835820896
"GB","2020-02-18",9.65178571428571,0.398809523809524,20.0892857142857,-1.88095238095238,-14.7083333333333,2.51785714285714
"IN","2020-02-18",2.34848484848485,2.51346801346801,4.3013468013468,4.12962962962963,5.0976430976431,-0.365319865319865
"IT","2020-02-18",1.65873015873016,-0.468253968253968,17.6349206349206,2.96825396825397,1.03174603174603,-0.206349206349206
"NG","2020-02-18",-1.05405405405405,-3.02702702702703,-2.16216216216216,0.72972972972973,2.13513513513514,0.756756756756757
"US","2020-02-18",0.260869565217391,-0.904347826086957,6.29565217391304,2.61739130434783,-0.733913043478261,0.742608695652174
"ZA","2020-02-18",-12.1,-12.4,-7.2,2.3,3.7,1.3
"AU","2020-02-19",-2.14074074074074,1.46666666666667,-5.28148148148148,8.01481481481481,13.1407407407407,-1.34814814814815
"BR","2020-02-19",-5.26726726726727,-2.62762762762763,-7.60960960960961,1.3993993993994,14.1381381381381,-0.927927927927928
"GB","2020-02-19",6.8,-0.875,6.025,-3.58055555555556,-14.9027777777778,2.67222222222222
"IN","2020-02-19",1.42301184433164,2.64128595600677,2.93739424703892,3.917089678511,5.53468697123519,-0.284263959390863
"IT","2020-02-19",-0.150793650793651,-0.825396825396825,7.11111111111111,1.61904761904762,0.849206349206349,-0.206349206349206
"NG","2020-02-19",-3.25641025641026,-4.46153846153846,-3.28205128205128,-3.15384615384615,1.97435897435897,0.692307692307692
"US","2020-02-19",2.27478260869565,0.60695652173913,8.70608695652174,2.87130434782609,0.363478260869565,0.203478260869565
"ZA","2020-02-19",-12.2,-13.6,-6,0.3,3,1.6
"AU","2020-02-20",-0.818181818181818,2.32575757575758,7.59848484848485,10.7348484848485,13.5606060606061,-1.83333333333333
"BR","2020-02-20",0.370030581039755,4.9388379204893,-0.0122324159021407,7.77064220183486,14.4525993883792,-1.62996941896024
"GB","2020-02-20",5.90449438202247,-0.629213483146067,1.79775280898876,-4.66573033707865,-15.5702247191011,3.01123595505618
"IN","2020-02-20",2.8013468013468,4.09427609427609,4.73737373737374,7.25420875420875,5.21212121212121,-0.927609427609428
"IT","2020-02-20",1.40944881889764,-0.110236220472441,14.244094488189,3.76377952755906,0.401574803149606,-0.37007874015748
"NG","2020-02-20",-2.15789473684211,-3.44736842105263,-0.368421052631579,-0.131578947368421,-0.763157894736842,1.28947368421053
"US","2020-02-20",0.914285714285714,-0.0504201680672269,0.314285714285714,1.49075630252101,-0.415126050420168,0.957983193277311
"ZA","2020-02-20",-7.1,-8.6,-4.7,2.6,2.3,-0.3
"AU","2020-02-21",1.37593984962406,3.33834586466165,6.6015037593985,12.4436090225564,16.3308270676692,-2.84210526315789
"BR","2020-02-21",0.401114206128134,8.22841225626741,-0.952646239554318,13.3036211699164,13.058495821727,-1.0891364902507
"GB","2020-02-21",4.62707182320442,0.0497237569060773,10.9723756906077,-1.2707182320442,-15.8314917127072,2.75138121546961
"IN","2020-02-21",-2.22053872053872,-2.18181818181818,8.21548821548822,-2.06228956228956,-16.2760942760943,3.5959595959596
"IT","2020-02-21",1.18897637795276,0.37007874015748,16.748031496063,5.11811023622047,0.078740157480315,-0.456692913385827
"NG","2020-02-21",-0.975,-3.525,0.975,-2.35,0.15,1.05
"US","2020-02-21",1.87107438016529,-0.981818181818182,6.61818181818182,3.01652892561983,-0.12396694214876,0.677685950413223
"ZA","2020-02-21",-5.8,-8.2,-2.3,5.8,2.3,-2.6
"AU","2020-02-22",5.13461538461539,5.58653846153846,20.7788461538462,11.9807692307692,3.10576923076923,-0.778846153846154
"BR","2020-02-22",-2.86033519553073,7.27932960893855,4.24022346368715,13.8379888268156,-3.87709497206704,0.371508379888268
"GB","2020-02-22",-2.44705882352941,-0.894117647058824,-6.49411764705882,1.10588235294118,-1.67941176470588,0.373529411764706
"IN","2020-02-22",-0.122895622895623,-0.994949494949495,5.82323232323232,0.262626262626263,-0.271043771043771,0.570707070707071
"IT","2020-02-22",-1.18110236220472,1.66141732283465,27.7165354330709,7.49606299212598,-0.283464566929134,-0.307086614173228
"NG","2020-02-22",0.425,-3.475,-1.325,-1.9,1.95,-0.425
"US","2020-02-22",5.94814814814815,2.81666666666667,39.287037037037,6.99074074074074,3.00555555555556,-0.987037037037037
"ZA","2020-02-22",-8,-9.22222222222222,-11.5555555555556,-3.44444444444444,1.55555555555556,0
"AU","2020-02-23",3.15384615384615,8.91208791208791,9.81318681318681,7.76923076923077,-1.13186813186813,-0.21978021978022
"BR","2020-02-23",1.12540192926045,7.27652733118971,22.6655948553055,-4.93247588424437,-3.03858520900322,0.771704180064309
"GB","2020-02-23",-2.07885304659498,-1.55913978494624,-8.34767025089606,3.97132616487455,-1.20071684587814,-0.157706093189964
"IN","2020-02-23",-0.52991452991453,-0.576068376068376,2.60683760683761,2.30598290598291,3.23931623931624,0.577777777777778
"IT","2020-02-23",-2.65853658536585,7.64227642276423,32.3170731707317,9.15447154471545,0.991869918699187,-0.211382113821138
"NG","2020-02-23",-2.06060606060606,-3.87878787878788,2.03030303030303,-1.90909090909091,0.212121212121212,0.666666666666667
"US","2020-02-23",7.56538461538462,3.50961538461538,40.525,6.77307692307692,2.25,-0.746153846153846
"ZA","2020-02-23",-11.7777777777778,-9.44444444444444,-18.4444444444444,-14.2222222222222,-0.888888888888889,2.88888888888889
"AU","2020-02-24",-3.02325581395349,3.02325581395349,-2.37984496124031,11.3565891472868,17.3643410852713,-1.47286821705426
"BR","2020-02-24",-8.89814814814815,-4.64814814814815,41.5216049382716,-19.9074074074074,-43.712962962963,7.99382716049383
"GB","2020-02-24",-3.90988372093023,-0.380813953488372,-9.81976744186047,-2.09883720930233,-1.97093023255814,1.43604651162791
"IN","2020-02-24",1.09612141652614,1.34907251264755,3.66441821247892,3.8212478920742,5.4637436762226,-0.328836424957841
"IT","2020-02-24",-1.91935483870968,20.4354838709677,22.4032258064516,-10.6451612903226,-12.4758064516129,3.31451612903226
"NG","2020-02-24",-6,-5.66666666666667,-4.41666666666667,-3.66666666666667,1.69444444444444,0.527777777777778
"US","2020-02-24",2.08260105448155,0.903339191564148,9.21792618629174,1.65377855887522,2.78734622144112,0.13884007029877
"ZA","2020-02-24",-13,-13.6,-7.7,-6.8,4.2,1.1
"AU","2020-02-25",-3.45864661654135,-0.165413533834586,-3.54135338345865,10.8872180451128,14.6466165413534,-1.50375939849624
"BR","2020-02-25",-28.7547169811321,-26.5754716981132,26.7735849056604,-20.9654088050314,-58.5786163522013,9.94654088050314
"GB","2020-02-25",0.286549707602339,5.61111111111111,2.80701754385965,0.555555555555556,0.847953216374269,0.347953216374269
"IN","2020-02-25",0.964705882352941,-0.216806722689076,3.49915966386555,3.47226890756303,2.71764705882353,-0.315966386554622
"IT","2020-02-25",-3.91269841269841,3.46031746031746,26.984126984127,-14.2380952380952,-14.1428571428571,4.55555555555556
"NG","2020-02-25",-2.47222222222222,-3.05555555555556,-2.69444444444444,-1.16666666666667,1.83333333333333,0.111111111111111
"US","2020-02-25",3.96078431372549,0.894830659536542,8.46524064171123,2.52762923351159,0.937611408199644,0.183600713012478
"ZA","2020-02-25",-0.5,-2.6,-4.7,0.1,5.1,-0.5
"AU","2020-02-26",-2.58394160583942,1.7956204379562,-3.74452554744526,10.3065693430657,13.978102189781,-1.27007299270073
"BR","2020-02-26",-17.5701754385965,-9.63450292397661,-16.0204678362573,-3.22222222222222,-16.4356725146199,5.58479532163743
"GB","2020-02-26",0.434540389972145,0.225626740947075,3.74094707520891,-0.844011142061281,0.537604456824513,0.412256267409471
"IN","2020-02-26",2.15397631133672,1.16751269035533,4.25719120135364,5.15228426395939,3.52284263959391,-1.51945854483926
"IT","2020-02-26",-11.4206349206349,-4.85714285714286,-6.80952380952381,-19.452380952381,-10.8492063492063,5.05555555555556
