web-scraper-order,web-scraper-start-url,menu_bar,menu_bar-href,health_topics,health_topics-href,news_articles,news_articles-href,title,author,date,content
"1597635359-420","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Sex & Relationships","https://www.webmd.com/sex-relationships/default.htm","More Young Americans Are Going Without Sex","https://www.webmd.com/sex-relationships/news/20200612/more-young-americans-are-going-without-sex","More Young Americans Are Going Without Sex","null","FRIDAY, June 12, 2020 (HealthDay News) -- Sex, and lots of it, has long been the primary preoccupation of young adults, but more of them are now going months and years without any intimate encounters.","Analyzing national survey data, researchers found that sexual inactivity increased from 19% to 31% among men 18 to 24 between 2000 and 2018. They defined sexual inactivity as no sex at all for a year or more."
"1597634681-315","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Teen Boys","https://teens.webmd.com/boys/default.htm","Excess Weight: 'Unexpected' Boys' Puberty Effect","https://teens.webmd.com/boys/news/20160127/excess-weight-has-unexpected-effect-on-puberty-onset-in-boys","Excess Weight: 'Unexpected' Boys' Puberty Effect","By Dennis Thompson","WEDNESDAY, Jan. 27, 2016 (HealthDay News) -- Excess weight can delay or speed up puberty in young boys, depending on how many extra pounds they carry, a new study suggests.","Previous studies have shown that overweight and obese girls tend to go through puberty earlier than girls of a normal weight, with the excess estrogen spurring their development, the study authors said in background notes."
"1597635538-454","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Weight Loss & Diet Plans","https://www.webmd.com/diet/default.htm","Fast Food Makes an Unhealthy Comeback Among Kids","https://www.webmd.com/diet/news/20200814/fast-food-makes-an-unhealthy-comeback-among-kids","Fast Food Makes an Unhealthy Comeback Among Kids","By Amy Norton 
HealthDay Reporter","FRIDAY, Aug. 14, 2020 (HealthDay News) -- After a period of improvement, U.S. kids are eating as much fast food as they were in the early 2000s, new government figures show.","Another Rudd study found that the percentage of parents buying fast food for their kids rose between 2010 and 2016. By 2016, 91% of parents said they'd bought their children meals in the last week at one of the four largest fast-food chains in the United States."
"1597634911-382","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Women's Health","https://www.webmd.com/women/default.htm","Pregnancy Discharge: Color and Texture Changes","https://www.webmd.com/women/features/pregnancy-discharge-changes","Pregnancy Discharge: Color and Texture Changes","","null","Have your doctor evaluate any discharge symptoms -- especially a bad smell and color changes. In some women, a bacterial infection may increase the risk for premature rupture of the membranes and early delivery. Depending on your risk, your doctor may want to treat an infection with antibiotics."
"1597635134-393","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Balance","https://www.webmd.com/balance/default.htm","Many Stay Optimistic for Most of Their Lives","https://www.webmd.com/balance/news/20200806/many-stay-optimistic-until-old-age-hits","Many Stay Optimistic for Most of Their Lives","By Robert Preidt 
HealthDay Reporter","THURSDAY, Aug. 6, 2020 (HealthDay News) -- People tend to be optimistic for most of their life, even when they have to cope with serious challenges, a new study finds.","""We found that optimism continued to increase throughout young adulthood, seemed to steadily plateau, and then decline into older adulthood,"" said study author William Chopik, an assistant professor of psychology at Michigan State University."
"1597634367-291","https://www.webmd.com/","Family &
 Pregnancy","https://www.webmd.com/family-pregnancy","Children's Health","https://www.webmd.com/children/default.htm","Why Do Black Kids Fare Worse After Surgery?","https://www.webmd.com/children/news/20200720/black-kids-face-higher-odds-of-post-op-complications-than-white-kids","Why Do Black Kids Fare Worse After Surgery?","By Amy Norton 
HealthDay Reporter","MONDAY, July 20, 2020 (HealthDay News) -- When healthy kids have surgery, serious complications are uncommon. But even in that low-risk scenario, Black children fare worse, a new study finds.","""What we're trying to do is dig into why these disparities exist,"" he said. ""If we can identify something actionable, then we can further improve care."""
"1597634328-286","https://www.webmd.com/","Family &
 Pregnancy","https://www.webmd.com/family-pregnancy","Children's Health","https://www.webmd.com/children/default.htm","Sepsis in Children","https://www.webmd.com/children/features/sepsis-children","Sepsis in Children","","Kissoon says one critical problem with sepsis is making a diagnosis. “The signs and symptoms initially can be very subtle, and many a time, we misdiagnose children and we think they have a common cold,” he says.","The social and economic disparities are also troubling and must be addressed, he adds. “Studies have shown that preterm infants who are black are 13 times more likely to develop sepsis and 15 times more likely to die than infants who are not black,” he says. “Infants of low-income families are 20 times more likely to die of sepsis. In fact, infants from families without insurance are also three times more likely to die.”"
"1597635538-449","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Weight Loss & Diet Plans","https://www.webmd.com/diet/default.htm","Fast Food Makes an Unhealthy Comeback Among Kids","https://www.webmd.com/diet/news/20200814/fast-food-makes-an-unhealthy-comeback-among-kids","Fast Food Makes an Unhealthy Comeback Among Kids","By Amy Norton 
HealthDay Reporter","FRIDAY, Aug. 14, 2020 (HealthDay News) -- After a period of improvement, U.S. kids are eating as much fast food as they were in the early 2000s, new government figures show.","The study, by the U.S. National Center for Health Statistics (NCHS), did not go into the underlying reasons. But other research gives some clues as to what could be driving the reversal."
"1597634681-313","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Teen Boys","https://teens.webmd.com/boys/default.htm","Excess Weight: 'Unexpected' Boys' Puberty Effect","https://teens.webmd.com/boys/news/20160127/excess-weight-has-unexpected-effect-on-puberty-onset-in-boys","Excess Weight: 'Unexpected' Boys' Puberty Effect","By Dennis Thompson","WEDNESDAY, Jan. 27, 2016 (HealthDay News) -- Excess weight can delay or speed up puberty in young boys, depending on how many extra pounds they carry, a new study suggests.","The female hormone estrogen is a suspected cause for these shifts in the timing of male puberty, Lee said."
"1597634367-290","https://www.webmd.com/","Family &
 Pregnancy","https://www.webmd.com/family-pregnancy","Children's Health","https://www.webmd.com/children/default.htm","Why Do Black Kids Fare Worse After Surgery?","https://www.webmd.com/children/news/20200720/black-kids-face-higher-odds-of-post-op-complications-than-white-kids","Why Do Black Kids Fare Worse After Surgery?","By Amy Norton 
HealthDay Reporter","MONDAY, July 20, 2020 (HealthDay News) -- When healthy kids have surgery, serious complications are uncommon. But even in that low-risk scenario, Black children fare worse, a new study finds.","""We're not trying to panic parents. Pediatric surgery is still safe,"" said lead researcher Dr. Olubukola Nafiu, a pediatric anesthesiologist at Nationwide Children's Hospital in Columbus, Ohio."
"1597635318-413","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Sex & Relationships","https://www.webmd.com/sex-relationships/default.htm","Many Teens Suffer 'Digital Dating Abuse'","https://www.webmd.com/sex-relationships/news/20200219/texting-trauma-many-teens-suffer-digital-dating-abuse","Many Teens Suffer 'Digital Dating Abuse'","By Amy Norton 
HealthDay Reporter","WEDNESDAY, Feb. 19, 2020 (HealthDay News) -- Many U.S. teenagers may be using their smartphones to harass, humiliate or otherwise abuse their dating partners.","""It makes no sense to think that someone who is being abusive toward a dating partner would do so only in person,"" said Englander, executive director of the Massachusetts Aggression Reduction Center at Bridgewater State University."
"1597635084-388","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Balance","https://www.webmd.com/balance/default.htm","Does Having a Sense of Purpose Improve Your Health?","https://www.webmd.com/balance/features/sense-purpose-health","Does Having a Sense of Purpose Improve Your Health?","","null","“The basic finding that having a sense of meaning in life is important to health, and that it becomes even more important as we get older, makes a lot of sense,” says psychologist Simon Goldberg, PhD, assistant professor in the department of Counseling Psychology at the University of Wisconsin’s Center for Healthy Minds, which conducts research into improving mental well-being for people around the globe. “We do have to search for it sometimes, but it is comforting when we can find purpose in our lives, and that may even affect our physical health.”"
"1597635538-456","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Weight Loss & Diet Plans","https://www.webmd.com/diet/default.htm","Fast Food Makes an Unhealthy Comeback Among Kids","https://www.webmd.com/diet/news/20200814/fast-food-makes-an-unhealthy-comeback-among-kids","Fast Food Makes an Unhealthy Comeback Among Kids","By Amy Norton 
HealthDay Reporter","FRIDAY, Aug. 14, 2020 (HealthDay News) -- After a period of improvement, U.S. kids are eating as much fast food as they were in the early 2000s, new government figures show.","Yet there was no evidence parents were actually buying more of those healthy options in 2016, versus 2010."
"1597634708-321","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Teen Boys","https://teens.webmd.com/boys/default.htm","Stress-Prone Teen Boys May Risk High BP Later","https://teens.webmd.com/boys/news/20160201/stress-prone-teen-males-may-be-at-risk-of-high-blood-pressure-later","Stress-Prone Teen Boys May Risk High BP Later","By Robert Preidt","","The researchers found that, among 18-year-old men, those who had the lowest stress-resilience scores were 40 percent more likely to develop high blood pressure later than those with the greatest ability to cope with stress."
"1597634759-331","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Men's Health","https://www.webmd.com/men/default.htm","Stop Avoiding That Doctor’s Appointment","https://www.webmd.com/men/features/men-avoiding-doctor-appointments","Stop Avoiding That Doctor’s Appointment","Guys, make time to visit the doctor.","What should I bring to my appointment?","These stats from a national survey, conducted by the Cleveland Clinic and published last September, reconfirm past findings about men’s unwillingness to make routine doctor visits. “As long as they’re strong and healthy, they don’t see any reason,” says Cleveland Clinic urologist Frank Jevnikar, MD. But, he says, you shouldn’t wait until you become ill before establishing a relationship with a physician."
"1597635318-411","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Sex & Relationships","https://www.webmd.com/sex-relationships/default.htm","Many Teens Suffer 'Digital Dating Abuse'","https://www.webmd.com/sex-relationships/news/20200219/texting-trauma-many-teens-suffer-digital-dating-abuse","Many Teens Suffer 'Digital Dating Abuse'","By Amy Norton 
HealthDay Reporter","WEDNESDAY, Feb. 19, 2020 (HealthDay News) -- Many U.S. teenagers may be using their smartphones to harass, humiliate or otherwise abuse their dating partners.","That's not surprising, according to Hinduja, since unhealthy relationships would usually manifest both face-to-face and online."
"1597635134-402","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Balance","https://www.webmd.com/balance/default.htm","Many Stay Optimistic for Most of Their Lives","https://www.webmd.com/balance/news/20200806/many-stay-optimistic-until-old-age-hits","Many Stay Optimistic for Most of Their Lives","By Robert Preidt 
HealthDay Reporter","THURSDAY, Aug. 6, 2020 (HealthDay News) -- People tend to be optimistic for most of their life, even when they have to cope with serious challenges, a new study finds.","One of the study's most important findings is people's resilience."
"1597635490-427","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Weight Loss & Diet Plans","https://www.webmd.com/diet/default.htm","Coffee: Good for You or Not?","https://www.webmd.com/diet/news/20200722/coffee-good-for-you-or-not","Coffee: Good for You or Not?","By Amy Norton 
HealthDay Reporter","WEDNESDAY, July 22, 2020 (HealthDay News) -- Coffee has been tied to many potential health benefits, but people should drink it for pleasure, and not disease prevention.","That's one of the main conclusions of a new research review. In it, researchers give an overview of the evidence on coffee and caffeine -- the subjects of many health studies over the years."
"1597635490-437","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Weight Loss & Diet Plans","https://www.webmd.com/diet/default.htm","Coffee: Good for You or Not?","https://www.webmd.com/diet/news/20200722/coffee-good-for-you-or-not","Coffee: Good for You or Not?","By Amy Norton 
HealthDay Reporter","WEDNESDAY, July 22, 2020 (HealthDay News) -- Coffee has been tied to many potential health benefits, but people should drink it for pleasure, and not disease prevention.","""There's been so much back-and-forth over the years about whether caffeine is good or bad,"" said Wright, who was not involved in the review. ""So it's good to come back to the evidence."""
"1597635514-444","https://www.webmd.com/","Living 
 Healthy","https://www.webmd.com/living-healthy","Weight Loss & Diet Plans","https://www.webmd.com/diet/default.htm","Is Your Bread Really 'Whole Grain'? Maybe Not","https://www.webmd.com/diet/news/20200810/is-it-really-whole-grain-food-labels-often-misleading","Is Your Bread Really 'Whole Grain'? Maybe Not","By Dennis Thompson 
HealthDay Reporter","MONDAY, Aug. 10, 2020 (HealthDay News) -- Folks who want to eat healthy by choosing whole grain foods aren't helped by product labels that can confuse and mislead consumers, a new study shows.","Refined grains have been ground into flour or meal, with the healthy outer layers of grain stripped away. Whole wheat products contain the entire grain, which boosts the fiber content and adds higher levels of nutrients."
