web-scraper-order,web-scraper-start-url,house_listings,house_listings-href,rental,rooms,bath,area,address,type,Description,listing_agent_name,listing_agent_phone,parking,date_available,cooling,heating,pets,deposit,laundry,image_url-src
1598219008-134,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"The Links at Kansas | 5401 Rock Chalk Dr, Lawrence, KS",https://www.zillow.com/b/the-links-at-kansas-lawrence-ks-BGzgMK/,null,null,null,null,,null,null,Community Director,(785) 337-4147,null,null,null,null,null,null,null,
1598218904-92,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"625 Folks Rd APT 102, Lawrence, KS 66049",https://www.zillow.com/homedetails/625-Folks-Rd-APT-102-Lawrence-KS-66049/2088765834_zpid/,"$1,100 ",2,2,"1,200","Lawrence, KS 66049",Townhouse for rent,"Available October 1st. Move-in ready Town Home in quiet, upscale complex located in a great school district, close to shopping, restaurants, bus stop and Turnpike access. Includes fitness center, clubhouse, pool, lawn maintenance, snow removal and in-unit washer and dryer. Spacious floor plan on upper level with private deck and 1-car garage. Sorry, no pets allowed. 12-month lease is preferred but short-term is an option. Discount given if rent paid in full for lease term. Easy living at a great value!",Karyn Davis,(785) 766-4829,None,Contact manager,Central,Forced air,No,Contact manager,In Unit,
1598218877-79,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"1027 Mississippi Street - 11, 11",https://www.zillow.com/homedetails/1027-Mississippi-St-11-Lawrence-KS-66044/2078995819_zpid/,$525+,1,1,600,"Lawrence, KS 66044",Apartment for rent,Great 1 bedroom right next to Memorial Stadium!,Tenant Turner contact for unit 364189,(620) 264-8642,None,Available now,Contact manager,Contact manager,Contact manager,$525 ,Contact manager,
1598218946-111,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"850 Highland Dr, Lawrence, KS 66044",https://www.zillow.com/homedetails/850-Highland-Dr-Lawrence-KS-66044/217732904_zpid/,$600 ,2,1,750,"Lawrence, KS 66044",Apartment for rent,"Bright Upper 2 bedroom in quaint Hillcrest Neighborhood. Walking distance to beautiful downtown Lawrence, The Merc Grocery, Hillcrest Shopping Center, Hillcrest Elementary, Bus stop, laundry and the KU Campus. Tenant pays utilites",Leasing Inlawrence,null,Off street,Contact manager,Other,Forced air,Contact manager,$600 ,Contact manager,
1598218972-124,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"4418 Adam Ave, Lawrence, KS 66047",https://www.zillow.com/homedetails/4418-Adam-Ave-Lawrence-KS-66047/126647263_zpid/,"$1,350 ",3,2,"1,700","4418 Adam Ave,",Townhouse for rent,"At 1700 sq ft, this townhome has 3 bedrooms, 2 bathrooms, multiple living areas, a two car garage, a main level master bedroom, and lots of storage space. It includes a washer/dryer, a microwave, a wood burning fireplace, a private driveway and patio, and an onsite pool! Located at Clinton Parkway and Inverness, this community is on the KU bus route and is in close proximity to Sunflower Elementary, Southwest Middle School, and Raintree Montessori. Monthly Rent: $1350, Deposit: one months rent Pet friendly with paid pet deposit, $50 monthly fee, and appropriate documentation! (Maximum 2 approved pets, no aggressive breeds) Apply today with no application fee! Lease through July 26, 2021. Tenant pays all utilities.",Garber Enterprises Inc,(785) 509-7870,"Off street, Detached Garage",Available now,Other,Forced air,"Cats, small dogs","$1,350 ",In Unit,
1598219044-149,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"2509 Crestline Cir #2509, Lawrence, KS 66047",https://www.zillow.com/homedetails/2509-Crestline-Cir-2509-Lawrence-KS-66047/2078133663_zpid/,"$1,195 ",3,3,"1,462","Lawrence, KS 66047",Townhouse for rent,"Large 3 bedroom/3 bathroom on a cul-de-sac. This home has a large primary bedroom with a private bathroom and walk-in closest. It also has a washer/dryer, private patio and 2-car garage. It's a great location in south Lawrence close to Holcomb Park. Tenant pays all utilities. Lawn care is provided.",Jason Schroeder,(785) 509-7931,"Off street, Detached Garage",Available now,Other,Forced air,"Cats, small dogs","$1,195 ",In Unit,
1598218923-100,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"1730 W 3rd St, Lawrence, KS 66044",https://www.zillow.com/homedetails/1730-W-3rd-St-Lawrence-KS-66044/217701813_zpid/,"$1,200 ",3,1.5,"1,400","Lawrence, KS 66044",House for rent,"This is a nice family home in a quiet neighborhood. There is a large living room with a fireplace, dining room, kitchen with custom-built oak cabinets, w/d hookup, 3 bedrooms, 1.5 baths, two walk-in closets, nice yard. New paint throughout, all new flooring downstairs, new dishwasher, several new light fixtures and ceiling fans -- all completed this summer. Tenant pays for lawn, utilities, and cleaning before move-out. Cats allowed but no dogs please. No personal checks accepted - only online or bank checks.",Rhonda Neugebauer,(951) 275-3502,1 space,Available now,Other,Forced air,Cats,"$1,200 ",In Unit,
1598218917-98,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"1595 E 650th Rd, Lawrence, KS 66049",https://www.zillow.com/homedetails/1595-E-650th-Rd-Lawrence-KS-66049/111833947_zpid/,"$2,850 ",4,4,"3,071","Lawrence, KS 66049",House for rent,"Beautiful country home surrounded by trees and forty acres of land. Offering solitude, nature, and quiet, while only five minutes from Lawrence, the Turnpike, and the Southwest Bypass. See more details and pictures at fiveminutesfromlawrence.com",Sonja Stockwell,(785) 423-1990,3 spaces,Contact manager,Other,Forced air,Contact manager,"$2,850 ",In Unit,
1598218882-82,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"1521 W 2nd St, Lawrence, KS 66044",https://www.zillow.com/homedetails/1521-W-2nd-St-Lawrence-KS-66044/74575948_zpid/,"$1,300 ",3,1,950,"Lawrence, KS 66044",House for rent,Quaint and exceptionally well kept 3 bedroom/1 bathroom home. Fenced back yard and privacy deck. Pet friendly and off street parking. New appliances. Easy access to I-70 in an established neighborhood. Quaint and exceptionally well kept 3 bedroom/1 bathroom home. Fenced back yard and privacy deck. Pet friendly and off street parking. New appliances. Easy access to I-70 in an established neighborhood.,Property Manager  Lawrence,(475) 256-5102,Detached Garage,1-Sep,Other,Forced air,"Cats, small dogs","$1,300 ",Contact manager,
1598218966-121,https://www.zillow.com/lawrence-ks/rent-houses/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22mapBounds%22%3A%7B%22west%22%3A-95.67137240338467%2C%22east%22%3A-94.96756075787685%2C%22south%22%3A38.83947899263468%2C%22north%22%3A39.02802423893799%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A32452%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22filterState%22%3A%7B%22pmf%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22pf%22%3A%7B%22value%22%3Afalse%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,"730 Illinois St, Lawrence, KS 66044",https://www.zillow.com/homedetails/730-Illinois-St-Lawrence-KS-66044/74578946_zpid/,"$2,200 ",3,2,"1,446","730 Illinois St,",House for rent,"Updated historic home in the heart of Old West Lawrence. It's blocks from both downtown and the University of Kansas Campus. The house is newly updated with marble countertops in the kitchen, new floors and quartz countertops in the bathrooms and fresh paint throughout the house. It has 3 bedrooms and 2 full baths, a spacious living room and kitchen, beautiful decked backyard. There's lots of natural light and it has been professionally decorated. Rent un-furnished for $2,050/month. All utilities responsibility of tenants. No Satellite--Cable only.",Chris Schmid,(785) 390-8374,Off street,1-Sep,Other,Forced air,Contact manager,"$2,200 ",In Unit,
